OBJECTID,DISSOLVE_ID,class,subtype,names_primary,UrbanPC,SampleSize_avg,RoadLength,WeightedSample,Percent_,Percentile,SpeedLimit,RoadClass,LandUse,NumberOverLimit,MedianSpeed,F85thPercentileSpeed,Pass,ExcludeFromSpeedSPI,PercentileBand,RankedPercentile,Sample_Size_Total,SpeedLimitFloor,PercentOverLimit,AnalysisStatus,StreetImageLink,Shape_Length
18,SE/6419,secondary,road,,0,3.5,9.756533195,34.1478661825,1.97263502852674e-08,2.00222054178766e-07,"55",secondary,RURAL,0,25,34.5,1,0,"0-5%",0.00448877805486284,7,55,0,Valid,"75.8971153,20.1249535,75.8177362,20.1250346",9756.53319490872
19,SE/8148,secondary,road,,0,4.5,7.727248866,34.772619897,2.00872545522686e-08,2.20309308731035e-07,"55",secondary,RURAL,0,15,26,1,0,"0-5%",0.00473815461346633,9,55,0,Valid,"75.7120515,17.605645,75.6604917,17.5704947",7727.24886639611
20,SE/7156,secondary,road,,0,3,11.989962813,35.969888439,2.07788860152361e-08,2.41088194746271e-07,"55",secondary,RURAL,0,30,44,1,0,"0-5%",0.00498753117206983,6,55,0,Valid,"77.2994739,21.1183866,77.2408869,21.1633762",11989.9628128879
21,SE/7545,secondary,road,,0,47.5,0.878492698,41.728403155,2.41054329158123e-08,2.65193627662083e-07,"55",secondary,RURAL,0,36,42,1,0,"0-5%",0.00523690773067332,95,55,0,Valid,"79.5745746,20.9965479,79.5815522,20.9928278",878.492698220898
22,SE/7039,secondary,road,,0,4,10.500626322,42.002505288,2.42637747185064e-08,2.89457402380589e-07,,secondary,RURAL,0,27,42.5,1,1,"0-5%",0.00548628428927681,8,,0,Valid,"77.4488302,19.9035566,77.4486147,19.9831737",10500.6263224412
23,PR/1333,primary,road,,0,1,42.155376268,42.155376268,2.43520843799013e-08,3.13809486760491e-07,"55",primary,RURAL,0,17,17.75,1,0,"0-5%",0.0057356608478803,4,55,0,Valid,"73.3504378,20.1356253,73.168945,20.0283308",42155.3762677099
24,SE/6341,secondary,road,,0,35.8333333333333,1.251108788,44.8313982366667,2.58979539356407e-08,3.39707440696131e-07,"55",secondary,RURAL,6,31.5,45.6666666666667,1,0,"0-5%",0.00598503740648379,215,55,0.027906976744186,Valid,"74.3057085,20.2484379,74.2959716,20.246428",1251.10878818049
25,SE/5032,secondary,road,,0,13.6666666666667,3.499169875,47.8219882916667,2.76255414419663e-08,3.67332982138098e-07,"55",secondary,RURAL,5,41.3333333333333,48.8333333333333,1,0,"0-5%",0.00623441396508728,82,55,0.0609756097560976,Valid,"74.7672348,17.8690392,74.7974671,17.8716724",3499.16987495035
26,SE/7524,secondary,road,,0,64,0.747589018,47.845697152,2.76392374451455e-08,3.94972219583243e-07,"55",secondary,RURAL,18,41.5,53,1,0,"0-5%",0.00648379052369077,128,55,0.140625,Valid,"78.7737912,20.8850159,78.7700325,20.8798405",747.589017753956
27,SE/4993,secondary,road,,0,32.5,1.485078361,48.2650467325,2.78814849891857e-08,4.22853704572429e-07,"55",secondary,RURAL,0,32.5,41,1,0,"0-5%",0.00673316708229426,65,55,0,Valid,"75.2898636,17.4650196,75.2976738,17.4758617",1485.07836069579
28,SE/10859,secondary,road,धामनगाव-कारेवाडी रोड,0,46,1.110991927,51.105628642,2.95224166205011e-08,4.5237612119293e-07,"55",secondary,RURAL,0,19.5,27,1,0,"0-5%",0.00698254364089776,184,55,0,Valid,"76.8581969,18.3842483,76.8497712,18.3883813",1110.99192691435
29,SE/10404,secondary,road,MDR11,0,11,4.786672374,52.653396114,3.04165223649023e-08,4.82792643557832e-07,"55",secondary,RURAL,0,19.5,25,1,0,"0-5%",0.00723192019950125,22,55,0,Valid,"76.6418539,18.2005635,76.6345814,18.2374766",4786.67237361399
30,SE/5263,secondary,road,,0,7,7.899164336,55.294150352,3.19420186532411e-08,5.14734662211073e-07,"55",secondary,RURAL,0,20.5,26.5,1,0,"0-5%",0.00748129675810474,14,55,0,Valid,"75.3966037,18.1852401,75.4551748,18.1617889",7899.164336164
31,SE/5704,secondary,road,,0,4,14.76051954,59.04207816,3.41071008399105e-08,5.48841763050984e-07,"55",secondary,RURAL,0,21.5,38.5,1,0,"0-5%",0.00773067331670823,8,55,0,Valid,"74.7870039,19.6124516,74.672992,19.5589804",14760.5195396329
32,SE/6655,secondary,road,,0,8.5,7.209486961,61.2806391685,3.5400260370073e-08,5.84242023421057e-07,"55",secondary,RURAL,0,35,43,1,0,"0-5%",0.00798004987531172,17,55,0,Valid,"74.9713364,20.979376,74.9234014,21.0201395",7209.48696117576
33,SE/6390,secondary,road,,0,8.5,7.959246621,67.6535962785,3.90817549511098e-08,6.23323778372167e-07,"55",secondary,RURAL,0,18,25.5,1,0,"0-5%",0.00822942643391521,17,55,0,Valid,"74.77164,19.7298764,74.7055345,19.7544052",7959.24662098409
34,SE/7167,secondary,road,,0,13.1,5.351995938,70.1111467878,4.05014191237143e-08,6.63825197495881e-07,"55",secondary,RURAL,0,24.7,31.8,1,0,"0-5%",0.0084788029925187,131,55,0,Valid,"77.4765761,21.1581208,77.4429909,21.1778429",5351.99593820271
35,SE/10709,secondary,road,Shirur Anantpal- Shend-Devni Road,0,51.625,1.364694126,70.45233425475,4.06985144107238e-08,7.04523711906605e-07,"55",secondary,RURAL,4,32.5,42.25,1,0,"0-5%",0.00872817955112219,413,55,0.00968523002421308,Valid,"76.8985295,18.3024443,76.9108834,18.3028212",1364.69412569009
36,SE/6757,secondary,road,,0,27.5,2.606058927,71.6666204925,4.1399976561958e-08,7.45923688468563e-07,"55",secondary,RURAL,0,33.5,38.5,1,0,"0-5%",0.00897755610972569,55,55,0,Valid,"75.7534385,21.0946952,75.7534231,21.1164608",2606.05892697644
37,SE/6729,secondary,road,,0,11,6.567375892,72.241134812,4.17318588133933e-08,7.87655547281956e-07,"55",secondary,RURAL,0,14.5,29,1,0,"0-5%",0.00922693266832918,22,55,0,Valid,"74.2216887,21.6472597,74.2788514,21.659743",6567.37589150323
38,SE/6673,secondary,road,,0,12.5,6.223779545,77.7972443125,4.49414813896447e-08,8.32597028671601e-07,"55",secondary,RURAL,0,42.5,48,1,0,"0-5%",0.00947630922693267,25,55,0,Valid,"75.8822626,20.6490945,75.8712355,20.6977111",6223.77954546546
39,TR/13116,trunk,road,Bypass Road,0,92.3333333333333,0.849861513,78.470546367,4.53304307929215e-08,8.77927459464522e-07,"55",trunk,RURAL,0,22.3333333333333,29.3333333333333,1,0,"0-5%",0.00972568578553616,554,55,0,Valid,"80.0560564,19.4256028,80.0545405,19.4326263",849.861512694595
40,SE/4459,secondary,road,,0.101198428561716,8.5,9.720128418,82.621091553,4.77280947575245e-08,9.25655554222047e-07,"55",secondary,RURAL,0,19.5,29.5,1,0,"0-5%",0.00997506234413965,17,55,0,Valid,"74.5520062,16.8647948,74.4665128,16.8720598",9720.12841818105
41,SE/6696,secondary,road,,0,60.8333333333333,1.362431049,82.8812221475,4.78783655592079e-08,9.73533919781255e-07,"55",secondary,RURAL,4,21.8333333333333,29.8333333333333,1,0,"0-5%",0.0102244389027431,365,55,0.010958904109589,Valid,"75.9136176,21.0199431,75.9059561,21.0139761",1362.43104900625
42,SE/7581,secondary,road,,0,13.3333333333333,6.526566057,87.02088076,5.02697406283022e-08,1.02380366040956e-06,"55",secondary,RURAL,0,18,26.8333333333333,1,0,"0-5%",0.0104738154613466,80,55,0,Valid,"79.4821894,21.1582986,79.5063056,21.1183173",6526.56605727619
43,SE/5296,secondary,road,,0.00960922489712257,6,15.218274902,91.309649412,5.27472527595048e-08,1.07655091316906e-06,"55",secondary,RURAL,0,18,28.5,1,0,"0-5%",0.0107231920199501,12,55,0,Valid,"75.7447267,18.3178195,75.683976,18.2573047",15218.2749017302
44,SE/5005,secondary,road,,0,27,3.411286652,92.104739604,5.32065560598032e-08,1.12975746922887e-06,"55",secondary,RURAL,0,15.5,28,1,0,"0-5%",0.0109725685785536,54,55,0,Valid,"75.9483454,17.3998755,75.9310338,17.3765262",3411.28665153322
45,SE/8681,secondary,road,,0,67.3333333333333,1.393387651,93.8214351673333,5.41982472487781e-08,1.18395571647764e-06,"55",secondary,RURAL,0,26,34.5,1,0,"0-5%",0.0112219451371571,404,55,0,Valid,"76.6490933,18.3968269,76.6387179,18.3901242",1393.38765074618
46,SE/4153,secondary,road,,0,8.5,11.13488902,94.64655667,5.46748988703617e-08,1.23863061534801e-06,"55",secondary,RURAL,0,34.5,39.5,1,0,"0-5%",0.0114713216957606,17,55,0,Valid,"73.6015807,16.0061032,73.5308931,16.0043636",11134.889019991
47,SE/5870,secondary,road,,0,50.5,1.897936914,95.845814157,5.53676792960656e-08,1.29399829464407e-06,"55",secondary,RURAL,14,41,52.5,1,0,"0-5%",0.0117206982543641,101,55,0.138613861386139,Valid,"74.8326483,19.6339078,74.847254,19.6400211",1897.9369135756
48,SE/7033,secondary,road,,0,8.5,11.65364006,99.05594051,5.72220873156126e-08,1.35122038195968e-06,"55",secondary,RURAL,0,14,20.5,1,0,"0-5%",0.0119700748129676,17,55,0,Valid,"77.2392184,21.0874407,77.1796757,21.0552551",11653.6400602029
49,SE/5266,secondary,road,,0,15.5,6.66367522,103.28696591,5.96662426446808e-08,1.41088662460436e-06,,secondary,RURAL,7,27,34.5,1,1,"0-5%",0.0122194513715711,31,,0.225806451612903,Valid,"75.4571589,18.1546502,75.5000019,18.1202664",6663.67521953958
50,SE/7128,secondary,road,,0,117.5,0.893875367,105.0303556225,6.06733543619608e-08,1.47155997896632e-06,"55",secondary,RURAL,0,20.5,26,1,0,"0-5%",0.0124688279301746,235,55,0,Valid,"77.9222241,20.7697887,77.9255094,20.7638304",893.875367196589
51,SE/9316,secondary,road,,1,52,2.050670963,106.634890076,6.16002529419588e-08,1.53316023190828e-06,"45",secondary,URBAN,8,23.5,40,1,0,"0-5%",0.0127182044887781,104,45,0.0769230769230769,Valid,"76.9856432,20.709536,76.9664681,20.7135474",2050.67096325772
52,SE/7119,secondary,road,,0,39,2.761779178,107.709387942,6.22209629205035e-08,1.59538119482879e-06,"55",secondary,RURAL,0,19,26,1,0,"0-5%",0.0129675810473815,78,55,0,Valid,"77.4118381,21.0816795,77.4145205,21.1007703",2761.77917754918
53,SE/6420,secondary,road,,0,10.25,10.561298889,108.25331361225,6.25351748903864e-08,1.65791636971917e-06,"55",secondary,RURAL,0,24.25,32.75,1,0,"0-5%",0.013216957605985,41,55,0,Valid,"75.8971153,20.1249535,75.9954784,20.12475",10561.2988886124
54,SE/10367,secondary,road,Major District Road 46,0,8,13.972431866,111.779454928,6.45721366840778e-08,1.72248850640325e-06,"55",secondary,RURAL,0,36,44,1,0,"0-5%",0.0134663341645885,16,55,0,Valid,"76.5086148,19.9538622,76.3899082,19.9189792",13972.4318662242
55,SE/5708,secondary,road,,0,14,8.260124579,115.641744106,6.6803282513836e-08,1.78929178891709e-06,,secondary,RURAL,25,58,68,1,1,"0-5%",0.013715710723192,28,,0.892857142857143,Valid,"74.761287,19.6571143,74.8297527,19.6380344",8260.12457905578
56,SE/7088,secondary,road,,0,19.5,5.933473691,115.7027369745,6.68385165364395e-08,1.85613030545353e-06,"55",secondary,RURAL,4,41,51.5,1,0,"0-5%",0.0139650872817955,39,55,0.102564102564103,Valid,"77.6749405,20.5008688,77.6292309,20.5123447",5933.47369107429
57,SE/7080,secondary,road,,0,20.8333333333333,5.737082117,119.522544104167,6.90451215717076e-08,1.92517542702523e-06,"55",secondary,RURAL,0,18.1666666666667,31.1666666666667,1,0,"0-5%",0.014214463840399,125,55,0,Valid,"78.734184,20.3918112,78.7855597,20.3905073",5737.08211732215
58,SE/6688,secondary,road,,0,17.5,6.857870669,120.0127367075,6.93282933209736e-08,1.99450372034621e-06,"55",secondary,RURAL,0,31.75,41.25,1,0,"0-5%",0.0144638403990025,70,55,0,Valid,"75.9689397,20.8208066,75.9389854,20.8592338",6857.87066929734
59,SE/5904,secondary,road,,0,20.5,6.131337052,125.692409566,7.26092952937972e-08,2.06711301564001e-06,,secondary,RURAL,6,27.5,34,1,1,"0-5%",0.014713216957606,41,,0.146341463414634,Valid,"75.3325477,19.3139358,75.3704415,19.35321",6131.3370518282
60,SE/6639,secondary,road,,0,10,13.03402018,130.3402018,7.52942061802061e-08,2.14240722182021e-06,"55",secondary,RURAL,0,21,26,1,0,"0-5%",0.0149625935162095,20,55,0,Valid,"74.8431884,20.6788092,74.7613752,20.6143886",13034.0201796355
61,SE/6719,secondary,road,,0,15.5,8.485045144,131.518199732,7.59747055038757e-08,2.21838192732409e-06,"55",secondary,RURAL,0,30,35,1,0,"0-5%",0.015211970074813,31,55,0,Valid,"73.8795133,21.5790733,73.8374294,21.6266092",8485.04514415892
62,SE/5006,secondary,road,,0,14,9.516067716,133.224948024,7.69606504082173e-08,2.2953425777323e-06,,secondary,RURAL,7,38,50.5,1,1,"0-5%",0.0154613466334165,28,,0.25,Valid,"75.6822997,17.4529272,75.6467245,17.512358",9516.0677164749
63,SE/6215,secondary,road,,0.162149941675231,14,9.539902355,133.55863297,7.71534116804601e-08,2.37249598941276e-06,"55",secondary,RURAL,0,29.5,36.5,1,0,"0-5%",0.01571072319202,28,55,0,Valid,"77.1089393,18.3959949,77.106683,18.4726308",9539.90235506882
64,SE/5212,secondary,road,,0,21.5,6.257614521,134.5387122015,7.77195784249518e-08,2.45021556783772e-06,"55",secondary,RURAL,0,18.5,24.5,1,0,"0-5%",0.0159600997506234,43,55,0,Valid,"75.4353953,17.7443424,75.4029884,17.7877871",6257.6145214753
65,SE/7534,secondary,road,,0,21,6.407025599,134.547537579,7.77246766201666e-08,2.52794024445788e-06,"55",secondary,RURAL,1,41.5,48.5,1,0,"0-5%",0.0162094763092269,42,55,0.0238095238095238,Valid,"79.1909805,20.8827622,79.1580842,20.8413817",6407.02559928812
66,SE/5209,secondary,road,,0,14.5,10.078349304,146.136064908,8.44190729306277e-08,2.61235931738851e-06,"55",secondary,RURAL,3,41,47,1,0,"0-5%",0.0164588528678304,29,55,0.103448275862069,Valid,"75.419885,17.6741142,75.4876399,17.6180188",10078.349303825
67,SE/5997,secondary,road,,0,130,1.134258516,147.45360708,8.51801833983091e-08,2.69753950078682e-06,"55",secondary,RURAL,0,33.5,43.5,1,0,"0-5%",0.0167082294264339,260,55,0,Valid,"76.6242747,18.6365221,76.6342916,18.6333152",1134.25851630134
68,SE/6816,secondary,road,,0,24.75,5.964765587,147.62794827825,8.52808958565181e-08,2.78282039664334e-06,"55",secondary,RURAL,0,30.25,41.25,1,0,"0-5%",0.0169576059850374,99,55,0,Valid,"76.0821511,20.853714,76.125536,20.8749013",5964.76558737991
69,SE/6414,secondary,road,,0,48,3.184915906,152.875963488,8.83125402285754e-08,2.87113293687191e-06,"55",secondary,RURAL,0,25.5,31.5,1,0,"0-5%",0.0172069825436409,96,55,0,Valid,"75.7936303,19.7234715,75.8221476,19.7263831",3184.91590599284
70,SE/10879,secondary,road,बोळेगाव (बु)- धामनगाव-कारेवाडी-शिरुर अनंतपाळ रोड,0,34.5625,4.424511423,152.922176057438,8.83392360498438e-08,2.95947217292176e-06,"55",secondary,RURAL,0,16.875,22.875,1,0,"0-5%",0.0174563591022444,553,55,0,Valid,"76.8497712,18.3883813,76.8565589,18.423581",4424.51142277717
71,SE/9920,secondary,road,Gajipur Road,0,80,1.938246301,155.05970408,8.95740314040335e-08,3.04904620432579e-06,"55",secondary,RURAL,0,30,43,1,0,"0-5%",0.0177057356608479,80,55,0,Valid,"77.9771601,20.2256175,77.985925,20.2119963",1938.24630097229
72,SE/10781,secondary,road,Vadjal Mayani Rod,0,84,1.864005265,156.57644226,9.04502123188179e-08,3.13949641664461e-06,"55",secondary,RURAL,0,35,42.5,1,0,"0-5%",0.0179551122194514,168,55,0,Valid,"74.5469148,17.4428885,74.5585224,17.4540141",1864.00526489998
73,SE/9315,secondary,road,,0,141,1.112114265,156.808111365,9.05840416448168e-08,3.23008045828943e-06,"55",secondary,RURAL,0,20.5,26,1,0,"0-5%",0.0182044887780549,282,55,0,Valid,"76.8366203,20.7252898,76.8280094,20.7202259",1112.11426492848
74,SE/6808,secondary,road,,0,22,7.180832098,157.978306156,9.12600332931937e-08,3.32134049158262e-06,,secondary,RURAL,24,51,61.5,1,1,"0-5%",0.0184538653366584,44,,0.545454545454545,Valid,"76.6209709,20.4939785,76.6856957,20.4821067",7180.83209814323
75,SE/6750,secondary,road,,0,15,10.788457527,161.826862905,9.34832462493933e-08,3.41482373783201e-06,"55",secondary,RURAL,5,33.5,57,1,0,"0-5%",0.0187032418952618,30,55,0.166666666666667,Valid,"74.9321653,21.5102,75.0179638,21.5020294",10788.457527213
76,SE/5688,secondary,road,,0,18.5,8.790922932,162.632074242,9.39483962767022e-08,3.50877213410871e-06,,secondary,RURAL,48,40,45.75,1,1,"0-5%",0.0189526184538653,74,,0.648648648648649,Valid,"74.7757199,19.4507627,74.7584067,19.3772192",8790.92293166706
77,SE/7571,secondary,road,,0,37.1666666666667,4.444417773,165.1841938965,9.54226906295477e-08,3.60419482473826e-06,"55",secondary,RURAL,0,26.1666666666667,34.1666666666667,1,0,"0-5%",0.0192019950124688,223,55,0,Valid,"79.3696069,21.2976006,79.3302539,21.3045179",4444.41777342856
78,SE/5655,secondary,road,,0,32,5.169428548,165.421713536,9.55598996599265e-08,3.69975472439819e-06,"55",secondary,RURAL,0,28.5,35,1,0,"0-5%",0.0194513715710723,64,55,0,Valid,"75.4209002,18.7085375,75.4230702,18.664931",5169.4285480456
79,SE/4849,secondary,road,,0,112.833333333333,1.488123733,167.909961206833,9.69972967988585e-08,3.79675202119705e-06,"55",secondary,RURAL,153,46.5,58.1666666666667,1,0,"0-5%",0.0197007481296758,677,55,0.225997045790251,Valid,"73.2919648,17.6609742,73.3038468,17.6658742",1488.12373301637
80,SE/5945,secondary,road,,0,61.5,2.733439903,168.1065540345,9.71108634551584e-08,3.89386288465221e-06,"55",secondary,RURAL,0,21,28,1,0,"0-5%",0.0199501246882793,123,55,0,Valid,"76.6103035,18.2439611,76.6345814,18.2374766",2733.43990321865
81,SE/6679,secondary,road,,1,105,1.603575512,168.37542876,9.72661855180283e-08,3.99112907017023e-06,"45",secondary,URBAN,106,44.5,50.5,1,0,"0-5%",0.0201995012468828,210,45,0.504761904761905,Valid,"75.5819816,20.9869962,75.5849865,20.9771972",1603.57551194549
82,SE/9362,secondary,road,,0.262153103077525,23.5,7.195445838,169.092977193,9.7680694924278e-08,4.08880976509451e-06,"55",secondary,RURAL,20,52.5,62.5,1,0,"0-5%",0.0204488778054863,47,55,0.425531914893617,Valid,"77.7387153,20.9372887,77.6745228,20.9576106",7195.44583761482
83,SE/7161,secondary,road,,0,17.2,9.980050632,171.6568708704,9.91617908294884e-08,4.187971555924e-06,"55",secondary,RURAL,6,32.1,44.3,1,0,"0-5%",0.0206982543640898,172,55,0.0348837209302326,Valid,"77.3177533,21.1654355,77.4109124,21.1835325",9980.05063166879
84,SE/6415,secondary,road,,0,12.5,13.831949486,172.899368575,9.98795500247069e-08,4.28785110594871e-06,"55",secondary,RURAL,0,19.5,29.75,1,0,"0-5%",0.0209476309226933,50,55,0,Valid,"75.956895,19.7087915,75.8378064,19.7331192",13831.9494860381
85,SE/5976,secondary,road,,0,74,2.340746888,173.215269712,1.00062038044622e-07,4.38791314399333e-06,"55",secondary,RURAL,0,22,30,1,0,"0-5%",0.0211970074812968,148,55,0,Valid,"76.446645,18.413708,76.4586237,18.3983744",2340.74688782073
86,SE/4620,secondary,road,,0,200.5,0.882438859,176.9289912295,1.0220736013077e-07,4.4901205041241e-06,"55",secondary,RURAL,28,41,49,1,0,"0-5%",0.0214463840399002,401,55,0.0698254364089776,Valid,"73.2876497,17.6673149,73.2919648,17.6609742",882.438858624863
87,SE/8283,secondary,road,,0,17.5,10.210541502,178.684476285,1.03221459018832e-07,4.59334196314293e-06,,secondary,RURAL,24,24.5,36,1,1,"0-5%",0.0216957605985037,35,,0.685714285714286,Valid,"74.7440175,18.6850911,74.6563268,18.6733738",10210.5415018161
88,SE/6010,secondary,road,,0,41.5,4.30804082,178.78369403,1.03278774576469e-07,4.6966207377194e-06,"55",secondary,RURAL,23,50.5,59.5,1,0,"0-5%",0.0219451371571072,83,55,0.27710843373494,Valid,"76.8677055,18.4372926,76.9038818,18.4457314",4308.04082023545
89,SE/5960,secondary,road,,0,31,5.808923264,180.076621184,1.04025665576827e-07,4.80064640329623e-06,"55",secondary,RURAL,0,25.75,32,1,0,"0-5%",0.0221945137157107,124,55,0,Valid,"76.2634239,18.3757215,76.3093172,18.3658398",5808.92326377888
90,SE/4188,secondary,road,,0,15,12.407068212,186.10602318,1.07508697141615e-07,4.90815510043784e-06,"55",secondary,RURAL,0,31,36.5,1,0,"0-5%",0.0224438902743142,30,55,0,Valid,"73.5827089,16.2768435,73.5317242,16.3495833",12407.0682117453
91,SE/7094,secondary,road,,0,34.8,5.362374756,186.6106415088,1.07800202264104e-07,5.01595530270195e-06,"55",secondary,RURAL,4,31.9,41.8,1,0,"0-5%",0.0226932668329177,348,55,0.0114942528735632,Valid,"77.6649701,20.6794874,77.6854968,20.7211833",5362.37475636247
92,SE/7115,secondary,road,,0,81,2.320198187,187.936053147,1.08565858721452e-07,5.1245211614234e-06,"55",secondary,RURAL,6,38.5,47,1,0,"0-5%",0.0229426433915212,162,55,0.037037037037037,Valid,"77.6683082,20.8794395,77.6491226,20.8697716",2320.19818688713
93,PR/1806,primary,road,,0,57,3.304679759,188.366746263,1.0881465913628e-07,5.23333582055968e-06,"55",primary,RURAL,103,47.375,58.75,1,0,"0-5%",0.0231920199501247,456,55,0.225877192982456,Valid,"77.8581718,21.0571263,77.8878808,21.0526338",3304.67975912465
94,SE/4546,secondary,road,,0,53,3.595680112,190.571045936,1.1008802676783e-07,5.34342384732751e-06,"55",secondary,RURAL,0,30,35.5,1,0,"0-5%",0.0234413965087282,106,55,0,Valid,"73.564969,17.1389691,73.5942364,17.1328793",3595.68011177279
95,SE/7062,secondary,road,,0,92.8333333333333,2.067177474,191.902975503,1.10857448466202e-07,5.45428129579371e-06,"55",secondary,RURAL,0,31.1666666666667,39.1666666666667,1,0,"0-5%",0.0236907730673317,557,55,0,Valid,"77.985925,20.2119963,77.9879401,20.194786",2067.1774739875
96,SE/7547,secondary,road,,0,46.3333333333333,4.165606737,193.006445481,1.11494894894011e-07,5.56577619068772e-06,,secondary,RURAL,140,41.1666666666667,50,1,1,"0-5%",0.0239401496259352,278,,0.503597122302158,Valid,"80.1767897,20.6589182,80.1617833,20.6256675",4165.60673654206
