segment_id,country,road_class,land_use,power_environment_used,rank_within_environment,speed_limit,median_speed,v_safe,misalignment,exposure_level,confidence_level,confidence_note,speedlimit_plausibility,delta_fatal_percent,delta_fatal_abs,sample_size_total,priority_class,review_track,score_explanation,street_image_link
thailand_47085-0,thailand,secondary,URBAN,urban_residential,1.0,90.0,77.3,30,60.0,high,medium,,high,91.46411455433625,50752.365129537124,55488.827915549955,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.550698,14.0157899,100.5647847,14.0448731"
thailand_47085-1,thailand,secondary,URBAN,urban_residential,1.0,90.0,77.3,30,60.0,high,high,,high,91.46411455433625,269380.2675809496,294520.17208444997,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.550698,14.0157899,100.5647847,14.0448731"
thailand_35837-0,thailand,secondary,URBAN,urban_residential,1.0,90.0,76.9,30,60.0,high,high,,high,91.34819387799764,21186.41346509601,23193.029402849555,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9943784,18.9217229,98.9480192,18.9077412"
thailand_35837-1,thailand,secondary,URBAN,urban_residential,1.0,90.0,76.9,30,60.0,high,high,,high,91.34819387799764,17471.454645652895,19126.21794032111,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9943784,18.9217229,98.9480192,18.9077412"
thailand_35837-2,thailand,secondary,URBAN,urban_residential,1.0,90.0,76.9,30,60.0,high,high,,high,91.34819387799764,184863.854453201,202372.75265682925,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9943784,18.9217229,98.9480192,18.9077412"
thailand_23617-0,thailand,primary,URBAN,urban_residential,1.0,90.0,76.8,30,60.0,high,high,,high,91.31887339102707,335216.56337838457,367083.551220555,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.4556878,14.5853429,100.4626568,14.5811747"
thailand_24695-0,thailand,primary,URBAN,urban_residential,1.0,90.0,76.1,30,60.0,high,high,,high,91.10972582703418,740056.846925851,812269.8649437275,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.5402923,13.9664024,100.53616963,13.96600677"
thailand_24695-1,thailand,primary,URBAN,urban_residential,1.0,90.0,76.1,30,60.0,high,medium,,high,91.10972582703418,877045.1212918875,962625.1350562726,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5402923,13.9664024,100.53616963,13.96600677"
thailand_15353-1,thailand,primary,URBAN,urban_residential,1.0,90.0,76.0,30,60.0,high,high,,high,91.0792797079177,33697.462715077265,36997.945990725566,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.89296708,20.00032809,99.8629965,19.9268986"
thailand_15353-2,thailand,primary,URBAN,urban_residential,1.0,90.0,76.0,30,60.0,high,medium,,high,91.0792797079177,40621.626386434,44600.29385026272,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.89296708,20.00032809,99.8629965,19.9268986"
thailand_22870-1,thailand,primary,URBAN,urban_residential,1.0,90.0,76.0,30,60.0,high,high,,high,91.0792797079177,81062.6701045575,89002.31794159717,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.3691397,14.600387,100.3490998,14.5965518"
thailand_55719-2,thailand,primary,URBAN,urban_residential,1.0,90.0,75.93333333,30,60.0,high,high,,high,91.05890203673768,43986.248571611475,48305.27009195129,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.86665344,18.65843059,98.9268928,18.7244757"
thailand_34213-3,thailand,primary,URBAN,urban_residential,1.0,90.0,75.26666666,30,60.0,high,medium,,high,90.851533820166,1594006.7572203176,1754518.26754575,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.299428,13.6439943,100.330379,13.6997438"
thailand_55720-0,thailand,primary,URBAN,urban_residential,1.0,90.0,75.0,30,60.0,high,medium,,high,90.76672060219383,43917.56073435551,48385.09141123913,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9273795,18.7244384,98.86665344,18.65795471"
thailand_55720-3,thailand,primary,URBAN,urban_residential,1.0,90.0,75.0,30,60.0,high,high,,high,90.76672060219383,1487534.489970655,1638854.50537551,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9273795,18.7244384,98.86665344,18.65795471"
thailand_18425-0,thailand,primary,URBAN,urban_residential,1.0,90.0,74.4,30,60.0,high,high,,high,90.57186853076831,348579.0970780463,384864.64145280374,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"98.9475224,19.1247314,98.9391572,19.1122859"
thailand_34703-3,thailand,primary,URBAN,urban_residential,1.0,90.0,73.95,30,60.0,high,high,,high,90.42197428704316,151847.50993777823,167932.08856039867,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.0712303,18.8418663,99.0398665,18.8198031"
thailand_34703-5,thailand,primary,URBAN,urban_residential,1.0,90.0,73.95,30,60.0,high,high,,high,90.42197428704316,581960.2643928359,643604.9079678487,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.0712303,18.8418663,99.0398665,18.8198031"
thailand_34703-7,thailand,primary,URBAN,urban_residential,1.0,90.0,73.95,30,60.0,high,medium,,high,90.42197428704316,64862.63666695996,71733.26746997861,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.0712303,18.8418663,99.0398665,18.8198031"
thailand_51631-2,thailand,secondary,URBAN,urban_residential,1.0,90.0,73.35,30,60.0,high,medium,,high,90.21693464050735,51560.618858627255,57151.81862926716,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"101.7328658,12.7806969,101.73537752,12.75866225"
thailand_42472-0,thailand,secondary,URBAN,urban_residential,1.0,90.0,72.8,30,60.0,high,high,,high,90.02360408056651,40484.73375956459,44971.243012369094,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"99.9110143,19.1407966,99.9180174,19.1417078"
thailand_34214-3,thailand,primary,URBAN,urban_residential,1.0,90.0,72.2,30,60.0,high,medium,,high,89.80661216133994,963985.0328082661,1073400.9552397341,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.3304468,13.6992699,100.2995769,13.6438803"
thailand_16541-1,thailand,primary,URBAN,urban_residential,1.0,90.0,72.125,30,60.0,high,medium,,high,89.77902998418686,41379.939391468055,46090.873780610535,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.2922958,13.7071013,100.1849982,13.764074"
thailand_16541-2,thailand,primary,URBAN,urban_residential,1.0,90.0,72.125,30,60.0,high,high,,high,89.77902998418686,133941.9008290401,149190.63043188571,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.2922958,13.7071013,100.1849982,13.764074"
thailand_16541-6,thailand,primary,URBAN,urban_residential,1.0,90.0,72.125,30,60.0,high,high,,high,89.77902998418686,1105029.6704320852,1230832.7129695192,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.2922958,13.7071013,100.1849982,13.764074"
thailand_16541-7,thailand,primary,URBAN,urban_residential,1.0,90.0,72.125,30,60.0,high,high,,high,89.77902998418686,1593569.2972896085,1774990.5490962535,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.2922958,13.7071013,100.1849982,13.764074"
thailand_23333,thailand,primary,URBAN,urban_residential,1.0,90.0,72.1,30,60.0,high,medium,,high,89.7698129612584,1715074.7190780821,1910525.0,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.43184518,13.94502986,100.4297472,13.9442634"
thailand_23292-0,thailand,primary,URBAN,urban_residential,1.0,90.0,72.1,30,60.0,high,medium,,high,89.7698129612584,828198.8714570974,922580.591556451,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4287736,13.9439075,100.4247481,13.942442"
thailand_23292-1,thailand,primary,URBAN,urban_residential,1.0,90.0,72.1,30,60.0,high,medium,,high,89.7698129612584,919188.4917963898,1023939.4084435492,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4287736,13.9439075,100.4247481,13.942442"
thailand_15207-1,thailand,primary,URBAN,urban_residential,1.0,90.0,71.7,30,60.0,high,high,,high,89.6207623124487,287022.89316578,320263.8381551808,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.4149224,13.8224564,100.4965576,13.833243"
thailand_15207-2,thailand,primary,URBAN,urban_residential,1.0,90.0,71.7,30,60.0,high,medium,,high,89.6207623124487,309175.99552523927,344982.5548764534,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4149224,13.8224564,100.4965576,13.833243"
thailand_15207-3,thailand,primary,URBAN,urban_residential,1.0,90.0,71.7,30,60.0,high,medium,,high,89.6207623124487,829255.1284292073,925293.5447459591,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4149224,13.8224564,100.4965576,13.833243"
thailand_15207-4,thailand,primary,URBAN,urban_residential,1.0,90.0,71.7,30,60.0,high,high,,high,89.6207623124487,432326.19531066023,482395.1327298722,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.4149224,13.8224564,100.4965576,13.833243"
thailand_15207-6,thailand,primary,URBAN,urban_residential,1.0,90.0,71.7,30,60.0,high,high,,high,89.6207623124487,566323.0858460084,631910.5877180691,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.4149224,13.8224564,100.4965576,13.833243"
thailand_15207-7,thailand,primary,URBAN,urban_residential,1.0,90.0,71.7,30,60.0,high,high,,high,89.6207623124487,681839.9492764529,760805.7906262,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.4149224,13.8224564,100.4965576,13.833243"
thailand_21064-0,thailand,primary,URBAN,urban_residential,1.0,90.0,71.3,30,60.0,high,medium,,high,89.46868787108218,334926.1169418928,374350.093771909,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.8915957,13.8164742,99.8787344,13.8285116"
thailand_16540-1,thailand,primary,URBAN,urban_residential,1.0,90.0,71.025,30,60.0,high,medium,,high,89.36234179488605,137899.6173062641,154315.13379851432,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.1847945,13.7648008,100.2925114,13.7072043"
thailand_16540-2,thailand,primary,URBAN,urban_residential,1.0,90.0,71.025,30,60.0,high,medium,,high,89.36234179488605,77661.37374083165,86906.1532866812,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.1847945,13.7648008,100.2925114,13.7072043"
thailand_16540-3,thailand,primary,URBAN,urban_residential,1.0,90.0,71.025,30,60.0,high,high,,high,89.36234179488605,1609851.8581976565,1801487.993558584,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.1847945,13.7648008,100.2925114,13.7072043"
thailand_16540-4,thailand,primary,URBAN,urban_residential,1.0,90.0,71.025,30,60.0,high,high,,high,89.36234179488605,1121877.3490308928,1255425.1897359013,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.1847945,13.7648008,100.2925114,13.7072043"
thailand_50020-1,thailand,secondary,URBAN,urban_residential,1.0,90.0,70.4,30,60.0,high,high,,high,89.11505225444049,357035.2070798143,400645.2311338051,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"101.1241131,13.2977258,101.122552,13.3052968"
thailand_30451-0,thailand,primary,URBAN,urban_residential,1.0,90.0,70.16666666,30,60.0,high,medium,,high,89.02068957840811,61282.692424697256,68840.95451846659,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"103.81665802,14.94247074,103.77498626,14.92764764"
thailand_30451-3,thailand,primary,URBAN,urban_residential,1.0,90.0,70.16666666,30,60.0,high,medium,,high,89.02068957840811,167439.4728402249,188090.51427617474,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"103.81665802,14.94247074,103.77498626,14.92764764"
thailand_35248-1,thailand,secondary,URBAN,urban_residential,1.0,90.0,70.0,30,60.0,high,high,,high,88.95259289849423,47792.800174461845,53728.39466186136,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.6126317,14.3331317,100.5732756,14.3314366"
thailand_24464-0,thailand,primary,URBAN,urban_residential,1.0,90.0,69.9,30,60.0,high,medium,,high,88.91145392651747,130722.75165245729,147025.77213560758,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5203713,14.0813062,100.5233665,14.0674814"
thailand_24464-1,thailand,primary,URBAN,urban_residential,1.0,90.0,69.9,30,60.0,high,medium,,high,88.91145392651747,33364.60887284093,37525.65884302796,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5203713,14.0813062,100.5233665,14.0674814"
thailand_24464-2,thailand,primary,URBAN,urban_residential,1.0,90.0,69.9,30,60.0,high,high,,high,88.91145392651747,370483.86506249546,416688.5690213645,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.5203713,14.0813062,100.5233665,14.0674814"
thailand_23338-0,thailand,primary,URBAN,urban_residential,1.0,90.0,69.8,30,60.0,high,medium,,high,88.87010253326599,151205.60143472432,170142.2605854706,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4340045,14.601278,100.4403959,14.5991922"
thailand_23338-1,thailand,primary,URBAN,urban_residential,1.0,90.0,69.8,30,60.0,high,medium,,high,88.87010253326599,116529.92739180615,131123.8808891736,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4340045,14.601278,100.4403959,14.5991922"
thailand_23338-2,thailand,primary,URBAN,urban_residential,1.0,90.0,69.8,30,60.0,high,medium,,high,88.87010253326599,206493.1123114835,232353.8585253558,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4340045,14.601278,100.4403959,14.5991922"
thailand_17532-0,thailand,primary,URBAN,urban_residential,1.0,90.0,69.21,30,60.0,high,medium,,high,88.62172949892701,104903.2093136228,118371.88227622314,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.54165649,14.22133808,100.5505383,14.0154169"
thailand_17532-1,thailand,primary,URBAN,urban_residential,1.0,90.0,69.21,30,60.0,high,high,,high,88.62172949892701,5545417.092212001,6257401.117723776,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.54165649,14.22133808,100.5505383,14.0154169"
thailand_21065-1,thailand,primary,URBAN,urban_residential,1.0,90.0,69.0,30,60.0,high,medium,,high,88.53147339643593,336111.43657110835,379651.91776040115,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.8787429,13.8286306,99.891759,13.8158738"
thailand_23731-0,thailand,primary,URBAN,urban_residential,1.0,90.0,68.8,30,60.0,high,medium,,high,88.44459097186142,230355.7779873292,260452.0813043465,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.460954,13.9512818,100.4653118,13.9520329"
thailand_23731-1,thailand,primary,URBAN,urban_residential,1.0,90.0,68.8,30,60.0,high,medium,,high,88.44459097186142,1054014.4609582992,1191722.9186956533,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.460954,13.9512818,100.4653118,13.9520329"
thailand_47086-0,thailand,secondary,URBAN,urban_residential,1.0,90.0,68.8,30,60.0,high,medium,,high,88.44459097186142,98753.56720188691,111655.8583365548,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5655115,14.0452011,100.551051,14.0164867"
thailand_47086-1,thailand,secondary,URBAN,urban_residential,1.0,90.0,68.8,30,60.0,high,high,,high,88.44459097186142,1021877.4315857148,1155387.141663445,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"100.5655115,14.0452011,100.551051,14.0164867"
thailand_24720-0,thailand,primary,URBAN,urban_residential,1.0,90.0,68.6,30,60.0,high,medium,,high,88.35679453472456,315580.24956215377,357165.79717944557,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5402695,13.9665402,100.5503126,13.9680181"
thailand_24720-1,thailand,primary,URBAN,urban_residential,1.0,90.0,68.6,30,60.0,high,medium,,high,88.35679453472456,1467953.7786300376,1661393.202820555,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.5402695,13.9665402,100.5503126,13.9680181"
thailand_15451-0,thailand,primary,URBAN,urban_residential,1.0,90.0,68.5,30,60.0,high,medium,,high,88.31254971854703,116739.73759009472,132189.29581599153,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.5038088,19.3632861,99.50239725,19.37725764"
thailand_46904-0,thailand,secondary,URBAN,urban_residential,1.0,90.0,68.35,30,60.0,high,medium,,high,88.24574486634876,67838.37559792459,76874.38720208907,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.56247442,15.05083703,100.56533113,15.04111896"
thailand_18336-0,thailand,primary,URBAN,urban_residential,1.0,90.0,68.2,30,60.0,high,medium,,high,88.17841012999651,162351.86241357276,184117.4752121596,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9262973,18.7292174,98.9290022,18.7350014"
thailand_30145-0,thailand,primary,URBAN,urban_residential,1.0,90.0,66.9,30,60.0,high,high,,high,87.57182510909477,87677.2265465879,100120.35998720117,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"103.5283189,14.8785364,103.5084614,14.8720477"
thailand_30145-1,thailand,primary,URBAN,urban_residential,1.0,90.0,66.9,30,60.0,high,high,,high,87.57182510909477,136192.26288055317,155520.64001279898,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: High.,"103.5283189,14.8785364,103.5084614,14.8720477"
thailand_29421-1,thailand,primary,URBAN,urban_residential,1.0,90.0,66.7,30,60.0,high,medium,,high,87.47470122830974,304920.70084885496,348581.58595250215,Top Priority,Review Needed,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"103.0559887,14.9646625,103.0617796,14.9694769"
