segment_id,country,road_class,land_use,speed_limit,median_speed,v_safe,misalignment,f85_speed,operating_gap,exposure_level,confidence_level,speedlimit_plausibility,power_environment_used,power_exponent_used,delta_fatal_percent,delta_fatal_percent_ci_low,delta_fatal_percent_ci_high,safety_score,priority_class,score_explanation,street_image_link
thailand_48756-0,thailand,secondary,RURAL,86.0,43.03333333,30,56.0,49.0,19.0,high,medium,low,rural_freeway,4.1,77.2177456834245,64.87493190154917,85.22334219280803,91.66666666666666,Priority,Posted speed limit is 56 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"101.1570467,19.1519094,100.9546729,19.1756873"
thailand_37968-7,thailand,secondary,RURAL,86.0,42.66666667,30,56.0,51.16666667,21.166666669999998,high,medium,low,rural_freeway,4.1,76.40427027150506,63.992384262298806,84.53775819326923,91.66666666666666,Priority,Posted speed limit is 56 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9582915,19.5065278,98.9593682,19.6834906"
thailand_36905-6,thailand,primary,RURAL,86.0,41.9,30,56.0,50.5,20.5,high,medium,low,rural_freeway,4.1,74.5832714798086,62.048322919229236,82.97808849674185,91.66666666666666,Priority,Posted speed limit is 56 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"99.873356,20.0286395,100.1315982,20.2205821"
thailand_37968-9,thailand,secondary,RURAL,86.0,42.66666667,30,56.0,51.16666667,21.166666669999998,high,medium,low,rural_freeway,4.1,76.40427027150506,63.992384262298806,84.53775819326923,91.66666666666666,Priority,Posted speed limit is 56 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"98.9582915,19.5065278,98.9593682,19.6834906"
thailand_30624-1,thailand,primary,URBAN,90.0,32.8,30,60.0,39.5,9.5,high,low,low,urban_residential,2.6,20.70546281621738,2.6414217191584988,35.41787751816852,90.0,Watch,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"104.1363282,15.114152,104.12549163,15.10032941"
thailand_49367-0,thailand,secondary,RURAL,90.0,36.8,30,60.0,44.0,14.0,high,low,low,rural_freeway,4.1,56.72659316041341,44.704095738328576,66.13514573081372,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9986171,13.2375451,100.9999617,13.2384885"
thailand_34619-2,thailand,secondary,RURAL,90.0,42.9,30,60.0,54.0,24.0,high,low,low,rural_freeway,4.1,76.92603410407251,64.55740669429989,84.97830286925424,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9292378,13.3372592,100.9032148,13.3025208"
thailand_48992-2,thailand,secondary,RURAL,90.0,49.8,30,60.0,59.0,29.0,high,low,low,rural_freeway,4.1,87.4813689795694,77.00218666266797,93.1856076781312,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.96665191,12.9484073,100.9830477,12.9526877"
thailand_49367-1,thailand,secondary,RURAL,90.0,36.8,30,60.0,44.0,14.0,high,low,low,rural_freeway,4.1,56.72659316041341,44.704095738328576,66.13514573081372,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9986171,13.2375451,100.9999617,13.2384885"
thailand_45880,thailand,secondary,RURAL,90.0,33.4,30,60.0,42.0,12.0,high,low,low,rural_freeway,4.1,35.607300758155915,26.75349870551399,43.3908836276016,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.4085582,7.1887804,100.3563209,7.191483"
thailand_47734-1,thailand,secondary,RURAL,90.0,51.88,30,60.0,59.2,29.200000000000003,high,low,low,rural_freeway,4.1,89.4148436321622,79.57548591186607,94.5141639674712,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9320838,17.8117924,100.6858743,17.7265931"
thailand_47053,thailand,secondary,RURAL,90.0,30.8,30,60.0,37.0,7.0,high,low,low,rural_freeway,4.1,10.22835018116327,7.348050703512444,13.019108908253008,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.5620624,14.3046236,100.56307022,14.30866245"
thailand_34619-3,thailand,secondary,RURAL,90.0,42.9,30,60.0,54.0,24.0,high,low,low,rural_freeway,4.1,76.92603410407251,64.55740669429989,84.97830286925424,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9292378,13.3372592,100.9032148,13.3025208"
thailand_49974-2,thailand,secondary,RURAL,90.0,48.4,30,60.0,59.0,29.0,high,low,low,rural_freeway,4.1,85.92879916692375,75.01955964079966,92.07385097949874,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.1058582,6.6735571,101.0727022,6.6839997"
thailand_34619-4,thailand,secondary,RURAL,90.0,42.9,30,60.0,54.0,24.0,high,low,low,rural_freeway,4.1,76.92603410407251,64.55740669429989,84.97830286925424,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9292378,13.3372592,100.9032148,13.3025208"
thailand_46106-1,thailand,secondary,RURAL,84.0,46.32727273,30,54.0,53.72727273,23.727272730000003,high,medium,low,rural_freeway,4.1,83.16292935345638,71.63876688774049,90.0044209349219,90.0,Priority,Posted speed limit is 54 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Medium.,"100.4549626,19.3234177,100.7142521,19.3302758"
thailand_35961-1,thailand,primary,RURAL,90.0,47.66666667,30,60.0,59.33333333,29.333333330000002,high,low,low,rural_freeway,4.1,85.01983713804113,73.88868351945601,91.40582285316712,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"99.27414675,16.68530192,99.2662055,16.6774153"
thailand_50263-2,thailand,secondary,RURAL,90.0,35.0,30,60.0,49.0,19.0,high,low,low,rural_freeway,4.1,46.84817724751539,36.04797361851075,55.82444495098494,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.1780659,14.2264772,101.1925508,14.2267585"
thailand_51418-1,thailand,secondary,RURAL,90.0,48.1,30,60.0,58.0,28.0,high,low,low,rural_freeway,4.1,85.56548051106671,74.56504830331747,91.80830554108854,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.4907409,6.4763432,101.5598425,6.5973072"
thailand_51418-3,thailand,secondary,RURAL,90.0,48.1,30,60.0,58.0,28.0,high,low,low,rural_freeway,4.1,85.56548051106671,74.56504830331747,91.80830554108854,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.4907409,6.4763432,101.5598425,6.5973072"
thailand_35456-0,thailand,secondary,URBAN,90.0,44.8,30,60.0,56.0,26.0,high,low,low,urban_residential,2.6,64.74729669521437,11.33484610260609,85.9837485678602,90.0,Watch,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"102.7169884,16.0575319,102.7255141,16.0564944"
thailand_51418-4,thailand,secondary,RURAL,90.0,48.1,30,60.0,58.0,28.0,high,low,low,rural_freeway,4.1,85.56548051106671,74.56504830331747,91.80830554108854,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.4907409,6.4763432,101.5598425,6.5973072"
thailand_51418-5,thailand,secondary,RURAL,90.0,48.1,30,60.0,58.0,28.0,high,low,low,rural_freeway,4.1,85.56548051106671,74.56504830331747,91.80830554108854,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.4907409,6.4763432,101.5598425,6.5973072"
thailand_36537-0,thailand,secondary,RURAL,90.0,36.75,30,60.0,47.0,17.0,high,low,low,rural_freeway,4.1,56.48469455146956,44.485639313084356,65.89023479963794,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"103.0126754,15.5335275,102.9943452,15.5465694"
thailand_36537-2,thailand,secondary,RURAL,90.0,36.75,30,60.0,47.0,17.0,high,low,low,rural_freeway,4.1,56.48469455146956,44.485639313084356,65.89023479963794,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"103.0126754,15.5335275,102.9943452,15.5465694"
thailand_51467-0,thailand,secondary,RURAL,90.0,42.9,30,60.0,53.0,23.0,high,low,low,rural_freeway,4.1,76.92603410407251,64.55740669429989,84.97830286925424,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.62211492,6.708663,101.62499237,6.71518257"
thailand_51469-0,thailand,secondary,RURAL,90.0,46.7,30,60.0,58.0,28.0,high,low,low,rural_freeway,4.1,83.70711718021595,72.29024505572677,90.42005130997825,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.62600199,6.7169962,101.5217642,6.8581029"
thailand_51469-2,thailand,secondary,RURAL,90.0,46.7,30,60.0,58.0,28.0,high,low,low,rural_freeway,4.1,83.70711718021595,72.29024505572677,90.42005130997825,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.62600199,6.7169962,101.5217642,6.8581029"
thailand_34619-1,thailand,secondary,RURAL,90.0,42.9,30,60.0,54.0,24.0,high,low,low,rural_freeway,4.1,76.92603410407251,64.55740669429989,84.97830286925424,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.9292378,13.3372592,100.9032148,13.3025208"
thailand_41429-2,thailand,secondary,RURAL,90.0,34.0,30,60.0,39.0,9.0,high,low,low,rural_freeway,4.1,40.140431142963806,30.439486510678893,48.488477096990614,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"99.8046659,20.2719174,99.8108381,20.2889427"
thailand_45681-10,thailand,secondary,RURAL,90.0,46.16666667,30,60.0,54.0,24.0,high,low,low,rural_freeway,4.1,82.92148059054622,71.3516948192261,89.81874064177327,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.3807121,19.8508018,100.5078318,20.0682805"
thailand_45681-9,thailand,secondary,RURAL,90.0,46.16666667,30,60.0,54.0,24.0,high,low,low,rural_freeway,4.1,82.92148059054622,71.3516948192261,89.81874064177327,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"100.3807121,19.8508018,100.5078318,20.0682805"
thailand_26739-2,thailand,primary,RURAL,90.0,39.85,30,60.0,47.0,17.0,high,low,low,rural_freeway,4.1,68.77941698456114,56.10556188553917,77.793888116709,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"101.32498932,15.79982002,101.169335,15.8277066"
thailand_37318-2,thailand,secondary,RURAL,90.0,47.80833333,30,60.0,54.66666667,24.666666669999998,high,low,low,rural_freeway,4.1,85.20100004872128,74.11243587628944,91.53993792110575,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"98.4833033,19.2854952,98.9034272,19.0877838"
thailand_29220-0,thailand,primary,RURAL,90.0,46.5,30,60.0,53.5,23.5,high,low,low,rural_freeway,4.1,83.4178806178538,71.94320394319722,90.1996406629231,90.0,Priority,Posted speed limit is 60 km/h above the safe speed (V_safe). VRU exposure: High. Data confidence: Low.,"102.9242031,16.2941679,102.9155755,16.2977427"
